Reservoir,Site,Transect,DateTime,Depth_m,Ebu_rate,Diff_rate,Flag_depth,Flag_ebu,Flag_diff
FCR,s3,NT,2015-05-25,1,10.876825,NA,0,0,1
FCR,s3,NT,2015-06-01,1,20.12433333,NA,0,0,1
FCR,s3,NT,2015-06-08,1,32.45771429,NA,0,0,1
FCR,s3,NT,2015-06-15,1,42.71972,NA,0,0,1
FCR,s3,NT,2015-06-22,1,78.3412,NA,0,0,1
FCR,s3,NT,2015-06-29,1,70.507825,NA,0,0,1
FCR,s3,NT,2015-07-06,1,54.84185,NA,0,0,1
FCR,s3,NT,2015-07-13,1,67.74985,NA,0,0,1
FCR,s3,NT,2015-07-20,1,52.872875,NA,0,0,1
FCR,s3,NT,2015-07-27,1,75.51075,NA,0,0,1
FCR,s3,NT,2015-08-03,1,52.2568,NA,0,0,1
FCR,s3,NT,2015-08-10,1,63.6416,NA,0,0,1
FCR,s3,NT,2015-08-17,1,67.30005,NA,0,0,1
FCR,s3,NT,2015-08-24,1,23.286575,NA,0,0,1
FCR,s3,NT,2015-08-31,1,31.787675,NA,0,0,1
FCR,s3,NT,2015-09-07,1,44.753925,NA,0,0,1
FCR,s3,NT,2015-09-14,1,13.841975,NA,0,0,1
FCR,s3,NT,2015-09-21,1,23.80902,NA,0,0,1
FCR,s3,NT,2015-09-28,1,8.87015,NA,0,0,1
FCR,s3,NT,2015-10-05,1,7.59325,NA,0,0,1
FCR,s3,NT,2015-10-19,1,3.7195,NA,0,0,1
FCR,s3,NT,2015-11-09,1,2.92805,NA,0,0,1
FCR,s3,NT,2015-12-07,1,1.218966667,NA,0,0,1
FCR,s3,NT,2016-03-30,1,5.73845,NA,0,0,1
FCR,s3,NT,2016-04-11,1,3.651325,NA,0,0,1
FCR,s3,NT,2016-04-25,1,8.904025,NA,0,0,1
FCR,s3,NT,2016-05-02,1,21.0452,NA,0,0,1
FCR,s3,NT,2016-05-09,1,12.48435,NA,0,0,1
FCR,s3,NT,2016-05-16,1,30.267075,NA,0,0,1
FCR,s3,NT,2016-05-23,1,30.5024,NA,0,0,1
FCR,s3,NT,2016-05-30,1,48.188175,NA,0,0,1
FCR,s3,NT,2016-06-06,1,30.0152,NA,0,0,1
FCR,s3,NT,2016-06-13,1,26.295875,NA,0,0,1
FCR,s3,NT,2016-06-20,1,48.681275,NA,0,0,1
FCR,s3,NT,2016-06-27,1,131.1678,NA,0,0,1
FCR,s3,NT,2016-07-05,1,122.50955,NA,0,0,1
FCR,s3,NT,2016-07-12,1,62.8133,NA,0,0,1
FCR,s3,NT,2016-07-18,1,98.525175,NA,0,0,1
FCR,s3,NT,2016-07-24,1,104.99695,NA,0,0,1
FCR,s3,NT,2016-08-01,1,67.372675,NA,0,0,1
FCR,s3,NT,2016-08-08,1,128.836,NA,0,0,1
FCR,s3,NT,2016-08-15,1,81.346525,NA,0,0,1
FCR,s3,NT,2016-08-26,1,42.7602,NA,0,0,1
FCR,s3,NT,2016-09-02,1,2.95375,NA,0,0,1
FCR,s3,NT,2016-09-09,1,103.7992,NA,0,0,1
FCR,s3,NT,2016-09-16,1,42.201425,NA,0,0,1
FCR,s3,NT,2016-09-30,1,33.8842,NA,0,0,1
FCR,s3,NT,2016-10-07,1,57.88635,NA,0,0,1
FCR,s3,NT,2016-10-14,1,39.3388,NA,0,0,1
FCR,s4,NT,2015-05-25,1,0.049833333,NA,0,0,1
FCR,s4,NT,2015-06-01,1,0.027166667,NA,0,0,1
FCR,s4,NT,2015-06-08,1,1.066666667,NA,0,0,1
FCR,s4,NT,2015-06-15,1,0.533566667,NA,0,0,1
FCR,s4,NT,2015-06-22,1,1.75445,NA,0,0,1
FCR,s4,NT,2015-06-29,1,2.2754,NA,0,0,1
FCR,s4,NT,2015-07-06,1,1.771666667,NA,0,0,1
FCR,s4,NT,2015-07-13,1,1.6529,NA,0,0,1
FCR,s4,NT,2015-07-20,1,1.6112,NA,0,0,1
FCR,s4,NT,2015-07-27,1,1.505533333,NA,0,0,1
FCR,s4,NT,2015-08-03,1,1.5466,NA,0,0,1
FCR,s4,NT,2015-08-10,1,1.5059,NA,0,0,1
FCR,s4,NT,2015-08-17,1,0.744666667,NA,0,0,1
FCR,s4,NT,2015-08-24,1,0,NA,0,0,1
FCR,s4,NT,2015-08-31,1,1.760333333,NA,0,0,1
FCR,s4,NT,2015-09-07,1,NA,NA,0,1,1
FCR,s4,NT,2015-09-14,1,1.12855,NA,0,0,1
FCR,s4,NT,2015-09-21,1,NA,NA,0,1,1
FCR,s4,NT,2015-09-28,1,6.9632,NA,0,0,1
FCR,s4,NT,2015-10-05,1,NA,NA,0,1,1
FCR,s4,NT,2015-10-19,1,NA,NA,0,1,1
FCR,s4,NT,2015-11-09,1,NA,NA,0,1,1
FCR,s4,NT,2015-12-07,1,0.0209,NA,0,0,1
FCR,s4,NT,2016-03-30,1,0,NA,0,0,1
FCR,s4,NT,2016-04-25,1,0.154975,NA,0,0,1
FCR,s4,NT,2016-05-02,1,0,NA,0,0,1
FCR,s4,NT,2016-05-09,1,0,NA,0,0,1
FCR,s4,NT,2016-05-16,1,0,NA,0,0,1
FCR,s4,NT,2016-05-23,1,0.2411,NA,0,0,1
FCR,s4,NT,2016-05-30,1,0,NA,0,0,1
FCR,s4,NT,2016-06-06,1,0.0033,NA,0,0,1
FCR,s4,NT,2016-06-13,1,0.1452,NA,0,0,1
FCR,s4,NT,2016-06-20,1,0,NA,0,0,1
FCR,s4,NT,2016-06-27,1,5.815833333,NA,0,0,1
FCR,s4,NT,2016-07-05,1,3.6763,NA,0,0,1
FCR,s4,NT,2016-07-12,1,0,NA,0,0,1
FCR,s4,NT,2016-07-18,1,0,NA,0,0,1
FCR,s4,NT,2016-07-24,1,0.0388,NA,0,0,1
FCR,s4,NT,2016-08-08,1,0,NA,0,0,1
FCR,s4,NT,2016-08-15,1,0,NA,0,0,1
FCR,s4,NT,2016-08-26,1,0.35075,NA,0,0,1
FCR,s4,NT,2016-09-02,1,3.00E-04,NA,0,0,1
FCR,s4,NT,2016-09-09,1,0,NA,0,0,1
FCR,s4,NT,2016-09-16,1,5.7393,NA,0,0,1
FCR,s4,NT,2016-09-30,1,2.249,NA,0,0,1
FCR,s4,NT,2016-10-07,1,0.08705,NA,0,0,1
FCR,s4,NT,2016-10-14,1,0.8155,NA,0,0,1
FCR,s6,NT,2015-05-25,1,0,NA,0,0,1
FCR,s6,NT,2015-06-01,1,0.2495,NA,0,0,1
FCR,s6,NT,2015-06-08,1,1.6614,NA,0,0,1
FCR,s6,NT,2015-06-15,1,1.77055,NA,0,0,1
FCR,s6,NT,2015-06-22,1,3.03665,NA,0,0,1
FCR,s6,NT,2015-06-29,1,2.207633333,NA,0,0,1
FCR,s6,NT,2015-07-06,1,4.3783,NA,0,0,1
FCR,s6,NT,2015-07-13,1,0.3617,NA,0,0,1
FCR,s6,NT,2015-07-20,1,4.489166667,NA,0,0,1
FCR,s6,NT,2015-07-27,1,3.0236,NA,0,0,1
FCR,s6,NT,2015-08-03,1,2.9231,NA,0,0,1
FCR,s6,NT,2015-08-10,1,2.173,NA,0,0,1
FCR,s6,NT,2015-08-17,1,0,NA,0,0,1
FCR,s6,NT,2015-08-24,1,0,NA,0,0,1
FCR,s6,NT,2015-08-31,1,0.699533333,NA,0,0,1
FCR,s6,NT,2015-09-07,1,NA,NA,0,1,1
FCR,s6,NT,2015-09-14,1,1.8536,NA,0,0,1
FCR,s6,NT,2015-09-21,1,NA,NA,0,1,1
FCR,s6,NT,2015-09-28,1,2.2272,NA,0,0,1
FCR,s6,NT,2015-10-05,1,NA,NA,0,1,1
FCR,s6,NT,2015-10-19,1,NA,NA,0,1,1
FCR,s6,NT,2015-11-09,1,NA,NA,0,1,1
FCR,s6,NT,2015-12-07,1,0.041,NA,0,0,1
FCR,s6,NT,2016-03-30,1,0.00135,NA,0,0,1
FCR,s6,NT,2016-04-11,1,0.1275,NA,0,0,1
FCR,s6,NT,2016-04-25,1,4.00E-04,NA,0,0,1
